0, D, 0
26652, C, 74, 75
26654, C, 63, 55
26658, C, 68, 75
26695, E, 64, 0
26708, E, 64, 127
26761, C, 75, 72
26774, F, 68, 64
26789, F, 74, 64
26866, F, 58, 64
26872, C, 58, 50
26875, C, 62, 50
26875, C, 79, 65
26882, F, 75, 64
26882, C, 68, 81
26892, F, 63, 64
26910, E, 64, 0
26936, E, 64, 127
26972, C, 77, 71
27001, F, 79, 64
27097, C, 70, 74
27108, E, 64, 0
27110, F, 77, 64
27142, E, 64, 127
27149, F, 62, 64
27163, F, 58, 64
27322, C, 67, 66
27323, F, 68, 64
27324, C, 73, 72
27330, C, 58, 32
27335, C, 52, 55
27348, E, 64, 0
27372, E, 64, 127
27432, C, 66, 75
27434, C, 51, 59
27444, F, 52, 64
27454, F, 67, 64
27536, F, 51, 64
27542, C, 67, 66
27542, C, 51, 65
27547, F, 58, 64
27552, C, 58, 65
27564, E, 64, 0
27587, E, 64, 127
27614, F, 66, 64
27748, F, 51, 64
27757, F, 67, 64
27759, F, 58, 64
27759, C, 69, 72
27760, C, 51, 50
27760, C, 60, 54
27791, E, 64, 0
27804, E, 64, 127
27830, F, 70, 64
27955, F, 51, 64
27968, C, 51, 40
27972, C, 72, 66
27978, C, 66, 66
27980, C, 57, 44
27996, F, 60, 64
28010, E, 64, 0
28025, F, 73, 64
28049, E, 64, 127
28080, C, 50, 44
28083, C, 65, 62
28091, F, 66, 64
28095, F, 51, 64
28176, F, 50, 64
28187, C, 50, 52
28190, C, 66, 79
28204, E, 64, 0
28220, E, 64, 127
28233, F, 65, 64
28264, F, 57, 64
28353, F, 50, 64
28392, C, 50, 1
28399, C, 68, 64
28400, C, 59, 48
28416, E, 64, 0
28439, E, 64, 127
28450, F, 69, 64
28550, F, 50, 64
28556, F, 59, 64
28605, F, 66, 64
28636, C, 56, 44
28639, C, 50, 44
28645, C, 71, 64
28646, C, 65, 59
28724, F, 72, 64
28777, C, 64, 63
28796, F, 65, 64
28877, F, 56, 64
28924, C, 65, 65
28936, C, 49, 50
28937, F, 64, 64
28937, C, 56, 37
28962, E, 64, 0
28974, F, 50, 64
28983, E, 64, 127
29256, C, 48, 64
29265, F, 56, 64
29296, C, 72, 85
29319, F, 49, 64
29340, E, 64, 0
29346, F, 68, 64
29351, F, 71, 64
29392, E, 64, 127
29694, F, 65, 64
29708, C, 56, 42
29708, C, 60, 55
29709, C, 65, 41
29846, F, 56, 64
29849, F, 65, 64
29868, F, 60, 64
29900, F, 48, 64
29916, C, 73, 73
29942, F, 72, 64
29996, F, 73, 64
30079, C, 56, 44
30085, C, 73, 79
30085, C, 60, 55
30091, C, 65, 37
30117, E, 64, 0
30148, E, 64, 127
30215, C, 72, 62
30238, F, 73, 64
30338, F, 60, 64
30383, C, 71, 67
30390, F, 72, 64
30399, F, 56, 64
30418, C, 72, 71
30426, F, 71, 64
30456, C, 71, 66
30472, F, 72, 64
30481, F, 65, 64
30511, C, 70, 74
30514, F, 71, 64
30602, C, 62, 57
30602, C, 65, 44
30609, C, 55, 36
30609, C, 71, 77
30631, F, 70, 64
30635, E, 64, 0
30649, E, 64, 127
30819, E, 64, 0
30833, E, 64, 127
30876, F, 62, 64
30886, F, 65, 64
30893, F, 55, 64
30906, C, 55, 54
30908, C, 65, 44
30910, C, 61, 54
30913, C, 79, 81
30956, E, 64, 0
30963, F, 71, 64
30996, E, 64, 127
31152, C, 70, 79
31154, F, 79, 64
31165, F, 55, 64
31172, F, 65, 64
31174, F, 61, 64
31391, C, 61, 33
31395, C, 54, 33
31401, C, 64, 36
31449, E, 64, 0
31480, E, 64, 127
31511, F, 61, 64
31516, F, 64, 64
31516, F, 54, 64
31519, C, 72, 69
31545, F, 70, 64
31584, F, 72, 64
31640, C, 54, 33
31647, C, 63, 40
31653, C, 72, 73
31655, C, 60, 50
31691, E, 64, 0
31727, E, 64, 127
31757, C, 70, 85
31783, F, 72, 64
31902, F, 54, 64
31902, C, 69, 75
31914, F, 70, 64
31931, F, 63, 64
31934, F, 60, 64
31950, C, 70, 82
31956, F, 69, 64
31994, C, 69, 71
32002, F, 70, 64
32046, C, 68, 81
32052, F, 69, 64
32106, C, 60, 50
32106, C, 53, 50
32110, C, 63, 44
32119, C, 69, 71
32131, E, 64, 0
32143, F, 68, 64
32164, E, 64, 127
32206, F, 53, 64
32219, F, 60, 64
32226, F, 63, 64
32362, C, 77, 77
32366, C, 53, 44
32366, C, 59, 35
32366, C, 63, 33
32378, F, 69, 64
32417, E, 64, 0
32459, E, 64, 127
32681, C, 68, 79
32689, F, 77, 64
32711, F, 59, 64
32735, F, 63, 64
32738, F, 53, 64
32938, C, 53, 41
32948, C, 59, 48
32948, C, 62, 37
32988, E, 64, 0
33009, E, 64, 127
33043, F, 53, 64
33060, C, 70, 75
33068, F, 59, 64
33075, F, 62, 64
33095, F, 68, 64
33125, F, 70, 64
33203, C, 59, 55
33209, C, 70, 77
33212, C, 62, 41
33212, C, 52, 50
33264, E, 64, 0
33294, E, 64, 127
33328, C, 68, 77
33333, F, 70, 64
33480, C, 67, 79
33488, F, 68, 64
33490, F, 52, 64
33510, F, 62, 64
33510, F, 59, 64
33532, C, 68, 85
33536, F, 67, 64
33584, C, 67, 79
33596, F, 68, 64
33616, C, 66, 86
33642, F, 67, 64
33671, C, 58, 44
33672, C, 67, 77
33674, C, 52, 44
33683, C, 61, 37
33686, F, 66, 64
33714, E, 64, 0
33749, E, 64, 127
33786, F, 52, 64
33802, F, 61, 64
33806, F, 58, 64
33996, C, 58, 44
34004, C, 73, 79
34005, C, 53, 40
34011, C, 65, 36
34029, F, 67, 64
34051, E, 64, 0
34079, E, 64, 127
34224, F, 58, 64
34257, C, 72, 83
34291, F, 65, 64
34293, F, 53, 64
34294, F, 73, 64
34543, C, 55, 31
34543, C, 64, 46
34546, C, 58, 33
34553, C, 61, 20
34627, F, 61, 64
34635, F, 55, 64
34635, F, 58, 64
34661, C, 70, 73
34679, F, 72, 64
34707, F, 64, 64
34792, C, 68, 83
34798, C, 48, 31
34802, C, 64, 54
34807, C, 58, 33
34814, F, 70, 64
34833, E, 64, 0
34866, E, 64, 127
34912, C, 67, 75
34928, F, 64, 64
34935, F, 68, 64
34964, F, 58, 64
34977, F, 48, 64
35034, C, 70, 73
35070, F, 67, 64
35134, C, 68, 73
35178, F, 70, 64
35244, C, 65, 76
35257, F, 68, 64
35262, C, 41, 59
35271, E, 64, 0
35292, E, 64, 127
35351, C, 67, 77
35374, F, 65, 64
35472, C, 68, 83
35485, C, 53, 71
35485, C, 56, 41
35485, C, 61, 44
35508, F, 67, 64
35512, E, 64, 0
35547, E, 64, 127
35584, C, 71, 73
35611, F, 68, 64
35720, C, 72, 79
35728, F, 71, 64
35748, F, 56, 64
35762, E, 64, 0
35774, E, 64, 127
35790, F, 53, 64
35799, F, 41, 64
35803, F, 61, 64
35970, C, 53, 41
35974, C, 60, 42
35980, C, 56, 29
36016, E, 64, 0
36048, E, 64, 127
36068, F, 56, 64
36084, C, 73, 66
36087, F, 53, 64
36101, F, 60, 64
36117, F, 72, 64
36198, C, 71, 66
36206, C, 56, 57
36209, C, 65, 44
36211, C, 60, 55
36223, F, 73, 64
36244, E, 64, 0
36264, E, 64, 127
