0, Program_c, 0
11951, Note_on_c, 54, 58
11960, Control_c, 64, 127
11960, Control_c, 64, 127
11980, Note_off_c, 61, 64
11992, Note_off_c, 54, 64
12155, Note_on_c, 40, 54
12167, Control_c, 64, 0
12167, Control_c, 64, 0
12180, Control_c, 64, 127
12180, Control_c, 64, 127
12239, Note_off_c, 69, 64
12264, Note_on_c, 71, 55
12304, Note_on_c, 69, 52
12313, Note_off_c, 66, 64
12334, Note_off_c, 71, 64
12342, Note_on_c, 68, 63
12342, Note_on_c, 64, 26
12344, Note_on_c, 59, 44
12346, Note_on_c, 52, 54
12348, Note_off_c, 69, 64
12361, Control_c, 64, 0
12361, Control_c, 64, 0
12366, Note_off_c, 40, 64
12398, Note_off_c, 59, 64
12405, Control_c, 64, 127
12405, Control_c, 64, 127
12408, Note_off_c, 52, 64
12434, Note_off_c, 64, 64
12446, Note_on_c, 69, 57
12472, Note_off_c, 68, 64
12533, Control_c, 64, 0
12533, Control_c, 64, 0
12540, Note_on_c, 71, 63
12540, Note_on_c, 62, 52
12546, Note_on_c, 52, 58
12558, Note_off_c, 69, 64
12576, Control_c, 64, 127
12576, Control_c, 64, 127
12596, Note_off_c, 52, 64
12684, Note_on_c, 66, 48
12700, Note_off_c, 71, 64
12717, Control_c, 64, 0
12717, Control_c, 64, 0
12724, Note_on_c, 45, 57
12729, Note_on_c, 64, 55
12768, Note_off_c, 66, 64
12777, Control_c, 64, 127
12777, Control_c, 64, 127
12868, Note_on_c, 69, 48
12898, Note_off_c, 64, 64
12898, Control_c, 64, 0
12898, Control_c, 64, 0
12912, Note_on_c, 73, 71
12912, Note_on_c, 61, 55
12912, Note_on_c, 57, 61
12928, Note_off_c, 62, 64
12930, Note_off_c, 45, 64
12936, Note_off_c, 69, 64
12956, Note_off_c, 57, 64
12956, Note_off_c, 61, 64
13099, Note_off_c, 73, 64
13126, Note_on_c, 73, 66
13133, Note_on_c, 57, 58
13139, Note_on_c, 64, 58
13162, Control_c, 64, 127
13162, Control_c, 64, 127
13208, Note_off_c, 57, 64
13221, Note_off_c, 64, 64
13332, Note_on_c, 66, 45
13332, Note_on_c, 57, 57
13336, Note_on_c, 63, 28
13359, Control_c, 64, 0
13359, Control_c, 64, 0
13405, Control_c, 64, 127
13405, Control_c, 64, 127
13452, Note_on_c, 75, 52
13457, Note_off_c, 73, 64
13500, Note_on_c, 73, 55
13513, Note_off_c, 75, 64
13540, Note_on_c, 56, 55
13544, Note_on_c, 72, 59
13554, Note_off_c, 57, 64
13555, Note_off_c, 73, 64
13555, Control_c, 64, 0
13555, Control_c, 64, 0
13601, Control_c, 64, 127
13601, Control_c, 64, 127
13670, Note_off_c, 72, 64
13670, Note_on_c, 68, 62
13729, Note_on_c, 71, 62
13736, Note_off_c, 66, 64
13738, Note_on_c, 65, 57
13738, Note_on_c, 61, 53
13740, Note_off_c, 63, 64
13745, Note_off_c, 68, 64
13745, Control_c, 64, 0
13745, Control_c, 64, 0
13790, Control_c, 64, 127
13790, Control_c, 64, 127
13925, Note_off_c, 61, 64
13926, Note_on_c, 55, 49
13933, Note_on_c, 61, 37
13936, Note_on_c, 64, 41
13947, Note_off_c, 65, 64
13948, Control_c, 64, 0
13948, Control_c, 64, 0
13957, Note_off_c, 56, 64
14000, Control_c, 64, 127
14000, Control_c, 64, 127
14048, Note_on_c, 73, 52
14073, Note_off_c, 71, 64
14093, Note_on_c, 71, 53
14113, Note_off_c, 73, 64
14131, Note_on_c, 54, 52
14134, Control_c, 64, 0
14134, Control_c, 64, 0
14141, Note_on_c, 70, 55
14147, Note_off_c, 55, 64
